Date,Open,High,Low,Close
25-January-2002,938.65,941.90,917.60,923.69,
28-January-2002,932.18,943.14,907.29,909.73,
29-January-2002,914.32,928.49,908.03,913.30,
30-January-2002,898.53,900.95,886.71,898.72,
31-January-2002,908.06,953.18,908.06,949.27,
1-February-2002,962.55,967.16,929.83,935.80,
4-February-2002,936.95,937.71,922.13,926.37,
5-February-2002,926.92,943.29,913.26,937.52,
6-February-2002,944.99,1006.25,944.99,1002.86,
7-February-2002,1010.02,1014.61,954.85,958.53,
8-February-2002,956.54,990.06,956.54,974.54,
11-February-2002,982.29,1003.56,972.27,974.33,
12-February-2002,983.55,993.58,974.85,982.91,
13-February-2002,990.57,1001.59,984.27,988.85,
14-February-2002,1006.61,1011.43,999.60,1008.56,
15-February-2002,1014.45,1020.01,1005.37,1008.57,
18-February-2002,1004.52,1005.84,984.36,995.07,
19-February-2002,1000.39,1004.72,979.80,984.02,
20-February-2002,967.50,982.40,961.28,963.92,
21-February-2002,975.05,984.66,966.23,968.94,
22-February-2002,961.38,975.30,956.45,973.70,
25-February-2002,976.17,982.32,965.06,977.42,
26-February-2002,986.03,1008.38,986.03,1006.43,
27-February-2002,1011.25,1023.16,993.23,1000.26,
28-February-2002,999.95,999.95,920.95,926.43,
1-March-2002,936.61,961.67,912.92,954.40,
4-March-2002,975.62,987.95,964.15,970.88,
5-March-2002,988.60,1005.79,985.17,991.02,
6-March-2002,996.68,1001.27,974.58,997.39,
7-March-2002,1001.70,1038.14,1001.70,1035.76,
8-March-2002,1040.06,1051.36,1025.82,1046.23,
11-March-2002,1056.70,1057.78,1030.81,1040.61,
12-March-2002,1040.65,1040.65,1012.03,1021.49,
13-March-2002,1008.47,1029.63,1004.65,1012.66,
14-March-2002,1012.69,1019.42,1001.35,1012.05,
15-March-2002,1012.83,1030.82,1011.86,1024.35,
18-March-2002,1035.74,1038.02,1017.72,1024.30,
19-March-2002,1023.81,1026.98,1001.27,1003.72,
20-March-2002,1013.08,1013.08,992.85,1002.92,
21-March-2002,999.57,1000.28,982.98,985.61,
22-March-2002,995.31,999.32,977.28,979.59,
26-March-2002,985.20,985.20,948.70,951.92,
27-March-2002,955.91,963.83,949.67,954.12,
28-March-2002,958.14,982.70,956.11,967.62,
1-April-2002,977.12,978.44,942.48,946.57,
2-April-2002,948.15,967.42,943.99,950.01,
3-April-2002,941.64,941.64,927.98,932.66,
4-April-2002,933.58,962.89,933.58,959.95,
5-April-2002,963.50,969.18,949.89,952.06,
8-April-2002,955.62,963.30,938.89,940.45,
9-April-2002,936.85,943.41,922.06,940.92,
10-April-2002,941.77,982.03,933.32,978.32,
11-April-2002,987.78,1000.99,985.04,993.82,
12-April-2002,985.07,1008.17,979.24,996.74,
15-April-2002,1001.70,1003.70,978.27,980.65,
16-April-2002,981.23,989.76,972.78,979.15,
17-April-2002,1000.83,1013.42,999.91,1008.55,
18-April-2002,1013.16,1017.30,1004.23,1010.96,
19-April-2002,1011.23,1012.95,973.63,976.10,
22-April-2002,974.25,989.73,961.57,986.35,
23-April-2002,979.95,989.43,974.14,985.76,
24-April-2002,986.65,998.72,981.59,987.66,
25-April-2002,987.60,988.40,957.84,961.65,
26-April-2002,967.48,972.78,957.73,964.60,
29-April-2002,960.97,960.97,935.47,939.70,
30-April-2002,941.24,961.05,940.66,955.36,
2-May-2002,967.48,973.53,960.68,962.78,
3-May-2002,958.55,966.52,956.22,963.82,
6-May-2002,963.51,963.51,952.64,959.35,
7-May-2002,950.40,965.43,945.21,963.39,
8-May-2002,970.15,985.92,970.15,977.20,
9-May-2002,1002.34,1005.22,978.11,983.22,
10-May-2002,978.27,978.44,959.26,969.92,
13-May-2002,969.91,976.12,965.11,972.57,
14-May-2002,981.82,984.63,961.97,968.29,
15-May-2002,974.28,985.31,961.08,965.36,
16-May-2002,969.61,969.61,938.42,942.12,
17-May-2002,942.51,942.51,921.19,936.22,
20-May-2002,936.55,936.75,908.69,912.54,
21-May-2002,895.24,895.24,864.87,884.35,
22-May-2002,879.06,894.17,867.20,886.21,
23-May-2002,884.43,886.15,871.21,879.21,
24-May-2002,895.46,923.15,895.46,920.22,
27-May-2002,922.77,923.26,902.91,909.69,
28-May-2002,899.26,899.26,868.35,871.84,
29-May-2002,879.97,897.00,862.97,888.57,
30-May-2002,886.26,899.21,877.22,883.33,
31-May-2002,881.29,882.39,857.09,863.79,
3-June-2002,873.16,880.97,858.59,861.04,
4-June-2002,852.14,863.44,852.14,862.15,
5-June-2002,863.76,892.02,863.76,884.43,
6-June-2002,892.80,896.27,871.45,874.32,
7-June-2002,864.17,864.17,844.59,847.02,
10-June-2002,860.69,881.53,860.69,877.81,
11-June-2002,899.78,911.95,897.89,909.40,
12-June-2002,908.22,908.22,891.94,898.40,
13-June-2002,909.37,912.05,891.02,891.64,
14-June-2002,889.08,897.55,885.98,889.52,
17-June-2002,900.58,901.13,889.43,891.45,
18-June-2002,901.62,904.41,866.05,867.36,
19-June-2002,863.26,873.15,839.69,843.83,
20-June-2002,840.39,868.69,840.33,861.03,
21-June-2002,857.99,858.24,844.25,848.71,
24-June-2002,844.80,852.39,839.09,849.85,
25-June-2002,854.30,857.53,841.63,850.89,
26-June-2002,839.66,841.36,824.90,827.04,
27-June-2002,837.19,850.77,834.51,845.52,
28-June-2002,855.31,859.75,846.65,855.39,
1-July-2002,860.02,869.29,855.65,867.14,
2-July-2002,857.69,867.99,857.62,865.27,
3-July-2002,862.34,883.16,862.34,878.46,
4-July-2002,885.57,892.79,871.29,873.03,
5-July-2002,878.13,882.97,868.41,879.74,
8-July-2002,888.41,892.64,881.71,884.55,
9-July-2002,881.13,884.48,877.72,879.52,
10-July-2002,887.56,892.79,859.81,861.67,
11-July-2002,856.77,858.01,842.08,847.66,
12-July-2002,855.83,859.34,845.32,851.29,
15-July-2002,848.05,848.05,826.93,834.42,
16-July-2002,834.64,845.59,821.36,823.52,
17-July-2002,823.90,832.82,816.27,828.17,
18-July-2002,834.61,839.22,826.23,835.84,
19-July-2002,826.47,829.84,822.61,826.74,
22-July-2002,810.60,812.11,791.00,794.60,
23-July-2002,786.97,820.80,786.97,819.50,
24-July-2002,807.97,807.97,787.62,789.35,
25-July-2002,806.65,812.79,783.49,788.84,
26-July-2002,773.00,773.58,756.53,757.78,
29-July-2002,757.79,758.20,736.68,749.99,
30-July-2002,763.71,770.12,728.21,732.29,
31-July-2002,725.17,745.62,712.98,738.43,
1-August-2002,740.61,748.19,727.76,730.63,
2-August-2002,717.84,726.82,709.15,724.74,
5-August-2002,730.73,736.21,722.88,733.44,
6-August-2002,722.83,746.89,719.54,744.56,
7-August-2002,756.44,760.22,741.85,743.30,
8-August-2002,746.02,752.12,727.82,730.40,
9-August-2002,739.09,750.13,731.11,746.92,
12-August-2002,748.21,761.26,746.91,759.41,
13-August-2002,758.70,765.45,757.87,762.58,
14-August-2002,757.21,758.77,746.43,747.08,
16-August-2002,756.76,758.05,750.43,755.81,
19-August-2002,758.47,760.67,754.47,758.10,
20-August-2002,763.63,786.95,760.85,784.23,
21-August-2002,782.46,795.96,779.84,792.51,
22-August-2002,798.35,801.24,780.83,782.23,
23-August-2002,786.85,805.53,785.51,804.12,
26-August-2002,799.96,812.70,797.68,805.10,
27-August-2002,808.15,817.30,783.58,785.42,
28-August-2002,780.49,792.81,777.21,789.61,
29-August-2002,786.32,805.09,784.75,802.61,
30-August-2002,803.00,830.48,801.53,828.02,
2-September-2002,837.32,838.65,819.46,823.62,
3-September-2002,819.19,821.72,797.46,799.14,
4-September-2002,786.14,808.27,785.13,805.82,
5-September-2002,812.24,822.64,806.25,811.93,
6-September-2002,804.19,811.86,794.27,801.47,
9-September-2002,802.19,827.83,796.76,818.60,
11-September-2002,820.15,832.30,820.15,828.03,
12-September-2002,825.25,830.01,823.27,824.76,
13-September-2002,815.89,818.85,806.75,810.19,
16-September-2002,812.18,814.11,801.46,802.77,
17-September-2002,809.20,826.21,809.20,824.63,
18-September-2002,817.38,817.38,800.22,803.17,
19-September-2002,802.14,802.46,785.36,788.97,
20-September-2002,772.27,791.10,771.63,787.91,
23-September-2002,794.22,794.22,776.44,779.23,
24-September-2002,767.51,772.31,758.48,764.29,
25-September-2002,756.82,780.85,755.20,779.05,
26-September-2002,787.44,790.45,780.06,781.55,
27-September-2002,786.66,794.78,784.99,788.71,
30-September-2002,782.25,783.34,765.58,768.29,
1-October-2002,763.70,775.47,755.53,765.15,
3-October-2002,767.19,778.14,763.94,767.31,
4-October-2002,766.91,771.83,762.31,768.16,
7-October-2002,767.79,770.92,762.79,764.24,
8-October-2002,762.74,782.87,762.06,779.76,
9-October-2002,787.42,790.37,759.74,762.56,
10-October-2002,769.25,777.56,752.86,775.46,
11-October-2002,791.61,802.64,789.00,799.59,
14-October-2002,809.46,811.32,800.21,803.91,
16-October-2002,820.13,820.33,794.32,795.87,
17-October-2002,794.31,808.06,792.67,805.52,
18-October-2002,815.47,820.92,804.15,810.31,
21-October-2002,811.45,813.59,800.25,804.45,
22-October-2002,807.09,807.09,789.48,791.48,
23-October-2002,790.90,795.67,783.33,787.93,
24-October-2002,792.15,793.05,775.83,777.82,
25-October-2002,774.15,775.26,761.44,764.81,
28-October-2002,766.10,767.12,752.48,754.23,
29-October-2002,750.58,772.39,749.82,769.59,
30-October-2002,767.17,776.36,765.95,768.99,
31-October-2002,772.94,775.11,766.89,771.80,
1-November-2002,775.06,783.92,774.13,780.55,
4-November-2002,786.99,791.82,784.74,790.81,
5-November-2002,795.05,804.45,788.28,802.51,
7-November-2002,804.86,813.12,798.13,801.85,
8-November-2002,796.16,798.96,790.06,794.48,
11-November-2002,796.69,796.69,783.76,784.67,
12-November-2002,779.14,790.52,777.90,789.42,
13-November-2002,792.72,798.05,790.09,793.92,
14-November-2002,797.86,821.47,797.35,817.53,
15-November-2002,825.99,853.54,825.99,849.40,
18-November-2002,847.04,848.53,836.36,840.92,
20-November-2002,838.34,865.80,838.34,860.29,
21-November-2002,870.46,879.06,870.20,875.48,
22-November-2002,886.09,898.96,882.77,885.09,
25-November-2002,883.01,890.12,876.80,886.40,
26-November-2002,885.61,897.66,880.84,883.16,
27-November-2002,885.66,894.06,874.53,877.08,
28-November-2002,889.91,901.95,889.91,899.92,
29-November-2002,901.37,907.79,887.02,902.79,
2-December-2002,907.94,931.23,904.10,929.00,
3-December-2002,925.46,931.73,903.10,905.96,
4-December-2002,897.52,897.54,868.37,871.49,
5-December-2002,873.52,890.96,873.52,884.70,
6-December-2002,892.47,905.32,888.41,902.14,
9-December-2002,916.67,927.97,891.68,893.95,
10-December-2002,886.74,901.94,873.52,898.72,
11-December-2002,913.63,924.55,905.19,912.68,
12-December-2002,919.53,930.83,914.30,926.10,
13-December-2002,926.86,927.10,910.55,913.84,
16-December-2002,920.65,922.13,894.60,896.61,
17-December-2002,906.59,908.26,893.93,895.94,
18-December-2002,897.51,907.33,893.53,898.94,
19-December-2002,899.22,904.13,895.78,901.51,
20-December-2002,906.13,913.78,901.54,905.28,
23-December-2002,908.06,908.06,893.81,896.77,
24-December-2002,897.68,914.04,893.70,912.83,
26-December-2002,915.54,926.56,913.85,916.24,
