Date,Open,High,Low,Close
11-December-2015,10777.56,10799.15,10714.45,10751.91,
14-December-2015,10677.53,10863.60,10666.35,10840.76,
15-December-2015,10882.71,10882.71,10784.54,10842.48,
16-December-2015,10881.77,10990.86,10881.75,10958.73,
17-December-2015,10997.80,11108.42,10940.68,11093.78,
18-December-2015,11050.65,11068.67,10917.11,10948.53,
21-December-2015,10896.13,11068.05,10872.87,11050.92,
22-December-2015,11044.39,11044.73,10905.49,10924.18,
23-December-2015,10959.26,11041.75,10959.26,11021.37,
24-December-2015,11033.36,11051.61,10995.94,11020.82,
28-December-2015,10993.51,11118.83,10981.36,11086.03,
29-December-2015,11089.35,11125.21,11038.44,11075.89,
30-December-2015,11061.11,11096.16,10927.54,10941.92,
31-December-2015,10951.31,11083.59,10948.15,11061.31,
1-January-2016,11042.57,11077.02,10991.20,11023.33,
4-January-2016,11020.20,11024.38,10845.06,10872.18,
5-January-2016,10898.85,10922.24,10767.62,10826.12,
6-January-2016,10835.15,10859.32,10774.50,10826.83,
7-January-2016,10771.17,10773.32,10638.54,10657.15,
8-January-2016,10691.96,10818.85,10690.48,10776.97,
11-January-2016,10756.71,10756.71,10633.95,10657.99,
12-January-2016,10673.00,10683.34,10489.29,10594.28,
13-January-2016,10597.40,10694.76,10435.15,10666.96,
14-January-2016,10569.37,11019.86,10491.01,10873.20,
15-January-2016,10971.46,11022.21,10862.03,10880.65,
18-January-2016,10871.85,10973.43,10802.34,10827.04,
19-January-2016,10873.86,10914.47,10785.45,10840.21,
20-January-2016,10829.11,10829.11,10688.84,10736.12,
21-January-2016,10777.59,10854.59,10731.92,10813.51,
22-January-2016,10845.07,10904.18,10837.11,10867.78,
25-January-2016,10903.40,10979.96,10856.88,10902.01,
27-January-2016,10960.42,10961.01,10899.10,10924.27,
28-January-2016,10917.28,10969.03,10870.18,10900.63,
29-January-2016,10927.29,11184.03,10914.03,11165.05,
1-February-2016,11201.02,11315.80,11157.59,11228.64,
2-February-2016,11236.07,11332.22,11148.67,11209.14,
3-February-2016,11121.94,11184.51,11032.76,11078.30,
4-February-2016,11115.96,11282.31,11115.79,11179.77,
5-February-2016,11164.51,11245.77,11150.84,11196.25,
8-February-2016,11170.37,11170.91,10939.82,10978.02,
9-February-2016,10843.27,10843.27,10577.81,10604.47,
10-February-2016,10599.97,10681.48,10550.99,10578.22,
11-February-2016,10603.33,10604.25,10233.56,10269.30,
12-February-2016,10307.17,10396.66,10116.64,10295.05,
15-February-2016,10385.26,10507.20,10383.62,10454.58,
16-February-2016,10465.59,10470.97,10336.75,10362.66,
17-February-2016,10377.83,10471.59,10270.58,10453.76,
18-February-2016,10490.56,10680.57,10490.56,10656.29,
19-February-2016,10656.06,10737.20,10606.20,10698.99,
22-February-2016,10743.69,10743.69,10644.15,10669.99,
23-February-2016,10705.12,10710.39,10546.45,10583.59,
24-February-2016,10578.15,10624.63,10464.42,10485.39,
25-February-2016,10483.24,10507.32,10332.99,10399.43,
26-February-2016,10459.61,10563.85,10415.84,10449.56,
29-February-2016,10488.40,10507.62,10044.59,10229.49,
1-March-2016,10296.96,10646.04,10257.73,10610.40,
2-March-2016,10670.94,10897.59,10632.89,10874.37,
3-March-2016,10947.88,11079.24,10939.19,11030.47,
4-March-2016,11029.30,11075.34,10920.66,10979.19,
8-March-2016,10954.83,11024.87,10823.51,10925.09,
9-March-2016,10848.43,11003.77,10776.66,10976.80,
10-March-2016,10935.29,10941.41,10793.28,10830.59,
11-March-2016,10827.08,10912.72,10799.04,10828.87,
14-March-2016,10876.15,10936.26,10804.05,10830.10,
15-March-2016,10863.94,10894.18,10706.99,10737.83,
16-March-2016,10756.00,10848.63,10710.73,10830.14,
17-March-2016,10863.26,10983.94,10863.26,10925.56,
18-March-2016,10946.72,11212.07,10945.78,11177.50,
21-March-2016,11171.47,11257.67,11128.44,11229.86,
22-March-2016,11238.59,11258.34,11128.50,11229.65,
23-March-2016,11230.50,11319.21,11164.93,11297.67,
28-March-2016,11407.89,11472.34,11194.71,11243.05,
29-March-2016,11230.99,11291.78,11146.36,11197.32,
30-March-2016,11221.47,11330.89,11202.69,11312.98,
31-March-2016,11335.41,11469.76,11267.69,11387.95,
1-April-2016,11376.48,11428.77,11204.02,11272.94,
4-April-2016,11336.28,11523.78,11324.02,11492.94,
5-April-2016,11505.25,11505.26,11316.80,11346.28,
6-April-2016,11387.02,11402.07,11234.79,11288.67,
7-April-2016,11349.21,11354.88,11105.90,11155.94,
8-April-2016,11119.06,11133.24,11050.32,11064.06,
11-April-2016,11089.34,11295.53,10964.86,11276.48,
12-April-2016,11288.06,11333.13,11237.22,11281.45,
13-April-2016,11379.42,11402.47,11264.07,11283.18,
18-April-2016,11538.66,11686.17,11523.35,11632.22,
20-April-2016,11716.67,11724.60,11531.41,11587.53,
21-April-2016,11586.46,11595.23,11380.16,11410.62,
22-April-2016,11365.76,11432.47,11327.17,11345.62,
25-April-2016,11345.48,11422.60,11294.22,11366.00,
26-April-2016,11338.67,11525.72,11309.62,11494.73,
27-April-2016,11484.44,11572.50,11464.28,11544.93,
28-April-2016,11482.80,11536.70,11360.56,11381.12,
29-April-2016,11367.65,11419.11,11282.43,11330.17,
2-May-2016,11343.41,11343.55,11217.89,11256.32,
3-May-2016,11246.86,11326.42,11060.01,11079.16,
4-May-2016,11104.54,11129.53,11008.42,11104.76,
5-May-2016,11116.77,11179.93,11059.07,11125.61,
6-May-2016,11123.88,11126.48,10998.60,11042.48,
9-May-2016,11085.60,11194.03,11045.35,11184.91,
10-May-2016,11200.41,11272.23,11145.30,11243.60,
11-May-2016,11185.81,11245.90,11106.82,11162.52,
12-May-2016,11208.97,11296.27,11161.26,11287.97,
13-May-2016,11284.83,11284.83,11168.21,11215.88,
16-May-2016,11236.42,11333.67,11232.73,11285.32,
17-May-2016,11313.12,11389.60,11283.41,11313.44,
18-May-2016,11270.23,11327.42,11211.03,11297.13,
19-May-2016,11290.89,11325.05,11234.72,11261.91,
20-May-2016,11274.94,11339.29,11194.07,11203.33,
23-May-2016,11211.71,11233.59,11087.95,11110.80,
24-May-2016,11097.61,11101.82,11019.97,11075.47,
25-May-2016,11135.08,11332.57,11135.08,11324.37,
26-May-2016,11321.62,11499.46,11306.15,11463.67,
27-May-2016,11456.79,11617.55,11453.25,11568.43,
30-May-2016,11596.49,11751.25,11582.87,11721.73,
31-May-2016,11735.06,11751.29,11550.15,11576.14,
1-June-2016,11541.11,11724.11,11534.42,11672.58,
2-June-2016,11667.22,11775.50,11635.49,11677.98,
3-June-2016,11709.60,11771.15,11672.36,11689.36,
6-June-2016,11687.80,11721.73,11632.83,11651.08,
7-June-2016,11675.47,11713.25,11624.19,11646.76,
8-June-2016,11663.53,11684.52,11563.63,11575.84,
9-June-2016,11555.01,11555.01,11284.10,11324.84,
10-June-2016,11280.33,11382.84,11248.28,11282.31,
13-June-2016,11235.47,11288.90,11158.43,11269.86,
14-June-2016,11271.27,11278.59,11161.44,11222.99,
15-June-2016,11244.91,11339.58,11239.84,11325.25,
16-June-2016,11355.99,11356.74,11173.75,11299.51,
17-June-2016,11328.28,11348.26,11280.54,11323.39,
20-June-2016,11313.87,11566.86,11310.00,11549.64,
21-June-2016,11561.75,11590.52,11499.38,11535.05,
22-June-2016,11518.50,11578.94,11448.83,11521.62,
23-June-2016,11529.37,11590.42,11446.67,11552.46,
24-June-2016,11353.79,11353.79,11108.88,11306.02,
27-June-2016,11191.86,11194.01,11046.22,11095.61,
28-June-2016,11091.05,11124.15,10977.02,10997.21,
29-June-2016,11036.42,11166.93,11021.24,11150.37,
30-June-2016,11236.55,11245.81,11144.64,11199.95,
1-July-2016,11247.94,11264.91,11140.68,11158.27,
4-July-2016,11195.26,11316.34,11178.97,11231.98,
5-July-2016,11243.42,11245.10,11155.45,11175.40,
7-July-2016,11187.53,11187.57,10979.98,10993.58,
8-July-2016,11086.19,11087.18,10947.90,11000.49,
11-July-2016,11036.44,11145.85,11029.65,11123.71,
12-July-2016,11129.97,11162.49,11067.09,11120.17,
13-July-2016,11160.88,11239.39,11117.01,11226.77,
14-July-2016,11226.50,11255.60,11142.08,11207.89,
15-July-2016,11269.41,11298.62,10582.64,10608.40,
18-July-2016,10630.27,10672.35,10536.23,10639.84,
19-July-2016,10646.69,10690.20,10606.90,10675.95,
20-July-2016,10544.53,10703.78,10538.00,10687.49,
21-July-2016,10673.91,10707.83,10638.66,10680.05,
22-July-2016,10642.04,10671.24,10605.52,10652.62,
25-July-2016,10621.35,10767.27,10621.34,10754.91,
26-July-2016,10750.39,10814.87,10728.00,10795.50,
27-July-2016,10797.48,10870.00,10771.48,10837.67,
28-July-2016,10857.48,10865.03,10799.73,10848.16,
29-July-2016,10843.83,10850.50,10778.70,10813.20,
1-August-2016,10821.96,11018.85,10802.71,11003.42,
2-August-2016,11025.84,11062.67,10970.61,11010.00,
3-August-2016,11084.55,11084.55,10947.89,10988.71,
4-August-2016,11046.81,11057.13,10916.46,10930.69,
5-August-2016,10918.12,10989.96,10859.48,10914.02,
8-August-2016,10915.19,10999.34,10900.35,10985.22,
9-August-2016,10992.88,11010.50,10921.84,10983.02,
10-August-2016,10974.44,11004.12,10938.95,10962.70,
11-August-2016,10971.62,11051.33,10955.20,10992.75,
12-August-2016,10984.60,11062.60,10929.17,10944.31,
16-August-2016,10874.49,10902.03,10762.08,10801.01,
17-August-2016,10785.46,10803.13,10602.99,10620.42,
18-August-2016,10642.08,10687.33,10580.36,10589.54,
19-August-2016,10615.60,10685.25,10531.09,10536.65,
22-August-2016,10516.49,10565.32,10396.50,10424.05,
23-August-2016,10404.95,10632.24,10404.95,10613.51,
24-August-2016,10639.41,10711.87,10635.36,10658.78,
25-August-2016,10680.90,10688.89,10503.33,10522.02,
26-August-2016,10528.24,10580.11,10362.90,10390.48,
29-August-2016,10400.20,10405.67,10229.61,10297.84,
30-August-2016,10374.51,10533.73,10328.60,10480.46,
31-August-2016,10492.86,10535.18,10396.73,10439.35,
1-September-2016,10457.22,10468.59,10396.19,10424.26,
2-September-2016,10433.27,10439.95,10366.50,10402.30,
6-September-2016,10440.01,10472.04,10389.66,10436.17,
7-September-2016,10470.33,10526.12,10374.39,10424.05,
8-September-2016,10295.91,10299.06,10087.93,10164.96,
9-September-2016,10175.42,10262.16,10130.04,10207.14,
12-September-2016,10142.19,10330.33,10100.99,10296.26,
14-September-2016,10317.01,10351.79,10207.55,10226.86,
15-September-2016,10248.30,10277.63,10172.75,10201.91,
16-September-2016,10272.58,10364.80,10191.31,10326.42,
19-September-2016,10296.23,10448.92,10253.63,10384.57,
20-September-2016,10354.21,10378.88,10303.36,10340.81,
21-September-2016,10347.87,10402.06,10340.00,10370.93,
22-September-2016,10400.98,10419.29,10318.37,10333.67,
23-September-2016,10351.24,10368.04,10282.73,10299.17,
26-September-2016,10282.99,10311.38,10229.86,10239.70,
27-September-2016,10245.62,10354.52,10241.80,10311.07,
28-September-2016,10319.50,10328.24,10255.55,10284.00,
29-September-2016,10303.20,10333.31,10155.39,10185.69,
30-September-2016,10200.12,10266.18,10199.54,10229.09,
3-October-2016,10250.25,10272.45,10172.67,10242.78,
4-October-2016,10261.66,10325.05,10258.10,10312.07,
5-October-2016,10325.72,10335.75,10225.61,10254.82,
6-October-2016,10264.39,10270.20,10154.35,10165.76,
7-October-2016,10165.83,10188.35,10055.17,10082.39,
10-October-2016,10096.52,10198.76,10063.66,10188.23,
13-October-2016,10161.33,10258.74,10136.21,10206.53,
14-October-2016,10236.71,10424.24,10002.29,10155.12,
17-October-2016,10204.14,10220.44,10082.81,10097.34,
18-October-2016,10141.22,10302.16,10139.31,10282.95,
19-October-2016,10311.93,10329.46,10257.47,10306.55,
20-October-2016,10305.71,10370.59,10274.38,10281.24,
21-October-2016,10298.97,10358.82,10255.01,10352.27,
24-October-2016,10347.19,10348.60,10239.88,10253.23,
25-October-2016,10225.23,10254.62,10158.42,10167.05,
26-October-2016,10185.74,10185.76,10079.16,10111.11,
27-October-2016,10088.59,10104.08,10004.05,10032.11,
28-October-2016,10060.50,10076.25,9976.34,9994.78,
30-October-2016,10035.64,10081.95,10022.42,10032.72,
1-November-2016,10058.23,10058.44,9893.26,9912.96,
2-November-2016,9867.24,9867.24,9789.58,9802.81,
3-November-2016,9807.46,9813.88,9713.01,9725.66,
4-November-2016,9704.78,9800.77,9660.81,9789.66,
7-November-2016,9846.43,9881.12,9781.39,9815.56,
8-November-2016,9856.38,9890.64,9747.07,9847.76,
9-November-2016,9477.90,9686.94,9147.84,9524.56,
10-November-2016,9611.13,9639.95,9438.66,9456.41,
11-November-2016,9427.63,9432.22,9221.71,9254.23,
15-November-2016,9282.57,9371.16,9123.11,9281.65,
16-November-2016,9295.93,9547.52,9295.93,9445.28,
17-November-2016,9434.01,9480.44,9292.09,9315.09,
18-November-2016,9323.39,9353.82,9232.19,9263.93,
21-November-2016,9321.40,9321.63,9199.32,9224.03,
22-November-2016,9277.83,9356.92,9248.41,9261.10,
23-November-2016,9324.71,9331.28,9264.02,9319.27,
24-November-2016,9333.07,9499.09,9311.64,9434.05,
25-November-2016,9441.35,9904.55,9441.11,9876.62,
28-November-2016,9957.50,9957.52,9789.08,9861.66,
29-November-2016,9888.39,9904.49,9791.98,9811.65,
30-November-2016,9804.78,9889.40,9760.70,9851.55,
1-December-2016,9871.07,9893.46,9792.81,9829.13,
2-December-2016,9810.48,9813.80,9677.18,9704.05,
5-December-2016,9709.47,9727.06,9588.45,9632.60,
6-December-2016,9665.77,9747.28,9631.97,9663.22,
7-December-2016,9670.13,9682.32,9585.65,9601.86,
8-December-2016,9609.60,9781.98,9603.29,9768.72,
9-December-2016,9788.74,9912.55,9756.32,9814.48,
12-December-2016,9788.77,9797.94,9666.40,9774.47,
13-December-2016,9815.69,9877.84,9744.36,9857.84,
14-December-2016,9871.68,9952.03,9845.14,9919.53,
15-December-2016,9923.14,10098.99,9900.18,9977.67,
16-December-2016,10015.64,10060.32,9993.50,10033.63,
19-December-2016,10046.99,10047.28,9972.29,10029.51,
20-December-2016,10018.88,10165.70,10018.09,10125.15,
21-December-2016,10155.37,10173.18,10025.66,10048.95,
22-December-2016,10042.15,10069.11,9859.93,9946.85,
23-December-2016,9929.31,10003.69,9861.37,9901.39,
26-December-2016,9887.84,9898.34,9803.80,9840.37,
27-December-2016,9826.51,10005.60,9825.94,9984.35,
28-December-2016,9996.62,10094.77,9984.16,10006.58,
29-December-2016,9998.96,10100.42,9998.89,10066.00,
30-December-2016,10073.66,10190.67,10068.97,10176.05,
2-January-2017,10186.09,10203.33,10129.32,10142.46,
3-January-2017,10152.79,10179.51,10047.47,10126.01,
4-January-2017,10118.62,10229.98,10118.62,10216.80,
5-January-2017,10238.14,10302.57,10113.74,10138.06,
6-January-2017,10093.65,10130.19,9843.15,9880.61,
9-January-2017,9898.16,9950.75,9809.00,9938.70,
10-January-2017,9983.67,10006.39,9936.86,9955.13,
11-January-2017,9983.11,10007.16,9891.78,9953.35,
12-January-2017,9987.80,10168.09,9987.36,10144.16,
13-January-2017,10276.71,10363.31,9907.83,9952.06,
16-January-2017,9912.72,9912.72,9820.98,9850.67,
17-January-2017,9870.24,9946.89,9856.08,9881.78,
18-January-2017,9898.02,9935.42,9885.05,9894.82,
19-January-2017,9895.40,9935.18,9870.19,9914.45,
20-January-2017,9874.33,9882.69,9807.09,9832.31,
23-January-2017,9784.16,9911.47,9742.25,9894.02,
24-January-2017,9888.90,9888.90,9830.35,9876.69,
25-January-2017,9896.31,9904.85,9845.04,9854.46,
27-January-2017,9844.56,9912.74,9829.73,9884.68,
30-January-2017,9832.30,9891.62,9779.55,9878.88,
31-January-2017,9878.62,9895.19,9401.85,9586.34,
1-February-2017,9542.01,9559.75,9357.09,9466.90,
2-February-2017,9468.97,9696.81,9421.62,9635.41,
3-February-2017,9634.55,9738.78,9564.71,9698.60,
6-February-2017,9740.41,9760.48,9661.80,9702.44,
7-February-2017,9729.87,9745.70,9656.67,9725.05,
8-February-2017,9698.63,9774.20,9677.84,9707.52,
9-February-2017,9716.73,9879.46,9716.73,9866.87,
10-February-2017,9831.09,10106.90,9827.42,10070.34,
13-February-2017,10110.69,10170.02,10028.52,10156.61,
14-February-2017,10163.01,10184.05,10116.62,10165.90,
15-February-2017,10129.83,10248.04,10027.75,10130.11,
16-February-2017,10210.41,10354.00,10210.41,10336.30,
17-February-2017,10342.98,10366.07,10203.36,10231.18,
20-February-2017,10241.52,10474.36,10221.01,10397.23,
21-February-2017,10444.35,10492.95,10332.26,10379.91,
22-February-2017,10383.17,10398.34,10189.46,10204.67,
23-February-2017,10200.76,10430.78,10196.85,10378.56,
27-February-2017,10365.84,10469.96,10356.95,10401.63,
28-February-2017,10401.31,10441.57,10356.02,10376.10,
1-March-2017,10391.45,10479.92,10368.11,10459.73,
2-March-2017,10465.29,10505.62,10422.67,10440.65,
3-March-2017,10397.53,10522.79,10348.09,10506.17,
6-March-2017,10436.31,10515.22,10411.60,10485.90,
7-March-2017,10457.36,10501.76,10430.15,10469.52,
8-March-2017,10475.37,10475.37,10370.22,10405.55,
9-March-2017,10408.88,10433.79,10360.65,10417.13,
10-March-2017,10430.73,10505.99,10427.30,10456.60,
14-March-2017,10556.15,10641.73,10523.05,10576.73,
15-March-2017,10587.28,10593.02,10370.98,10384.82,
16-March-2017,10407.53,10529.90,10407.53,10510.71,
17-March-2017,10574.69,10598.68,10474.23,10585.67,
20-March-2017,10538.62,10538.69,10413.12,10441.22,
21-March-2017,10449.20,10492.89,10421.96,10475.39,
22-March-2017,10424.30,10518.94,10405.17,10462.20,
23-March-2017,10466.87,10533.83,10459.66,10522.91,
24-March-2017,10528.86,10534.47,10415.30,10438.11,
27-March-2017,10445.28,10487.54,10344.92,10360.27,
28-March-2017,10369.26,10449.05,10369.26,10401.55,
29-March-2017,10426.97,10447.70,10375.90,10421.05,
30-March-2017,10418.67,10455.78,10379.43,10397.55,
31-March-2017,10376.25,10419.27,10299.25,10365.51,
3-April-2017,10396.59,10412.35,10258.33,10275.99,
5-April-2017,10265.05,10269.25,10173.61,10194.58,
6-April-2017,10194.87,10242.24,10167.17,10208.88,
7-April-2017,10219.27,10234.76,10132.49,10147.65,
10-April-2017,10160.64,10208.31,9958.11,9983.30,
11-April-2017,9995.26,10083.24,9995.23,10055.97,
12-April-2017,10079.62,10098.27,9957.11,10004.11,
13-April-2017,10034.26,10108.51,9709.44,9731.01,
17-April-2017,9736.68,9736.74,9663.45,9684.82,
18-April-2017,9693.11,9752.40,9639.18,9653.72,
19-April-2017,9655.16,9729.84,9570.76,9620.99,
20-April-2017,9648.93,9731.07,9623.08,9716.08,
21-April-2017,9764.05,9769.65,9657.71,9680.94,
24-April-2017,9645.01,9734.81,9605.93,9721.26,
25-April-2017,9754.21,9778.45,9703.89,9739.74,
26-April-2017,9793.34,9808.73,9619.71,9634.41,
27-April-2017,9674.81,9712.39,9650.85,9684.82,
28-April-2017,9698.50,9699.70,9602.83,9618.99,
2-May-2017,9674.96,9707.25,9624.89,9670.37,
3-May-2017,9700.05,9815.05,9665.19,9805.83,
4-May-2017,9812.52,9839.61,9735.41,9785.76,
5-May-2017,9761.12,9763.76,9703.72,9749.92,
8-May-2017,9790.59,9894.35,9765.26,9877.35,
9-May-2017,9903.53,9936.06,9887.12,9919.84,
10-May-2017,9926.18,9939.83,9838.34,9878.63,
11-May-2017,9917.22,9930.94,9875.00,9907.48,
12-May-2017,9933.48,10034.99,9930.27,10022.53,
15-May-2017,10040.94,10058.34,9940.78,9981.75,
16-May-2017,10000.82,10099.80,9994.54,10088.39,
17-May-2017,10088.76,10122.46,10011.94,10066.43,
18-May-2017,10046.07,10316.52,10010.79,10188.56,
19-May-2017,10185.97,10220.23,10055.07,10116.84,
22-May-2017,10130.79,10205.08,10114.03,10150.90,
23-May-2017,10169.93,10221.72,10107.38,10134.28,
24-May-2017,10132.32,10178.60,10084.03,10134.09,
25-May-2017,10177.13,10391.67,10176.92,10368.73,
26-May-2017,10369.52,10447.85,10336.40,10399.07,
29-May-2017,10342.98,10348.18,10217.80,10266.94,
30-May-2017,10273.29,10335.76,10196.01,10309.15,
31-May-2017,10270.49,10310.53,10203.79,10229.52,
1-June-2017,10179.75,10287.27,10138.06,10232.03,
2-June-2017,10230.95,10299.01,10222.35,10255.94,
5-June-2017,10258.33,10306.78,10224.93,10282.73,
6-June-2017,10374.79,10602.54,10360.93,10522.42,
7-June-2017,10539.62,10561.18,10178.88,10315.26,
8-June-2017,10318.67,10336.09,10151.34,10178.03,
9-June-2017,10102.74,10118.91,9984.72,10100.60,
12-June-2017,10070.06,10179.28,9994.08,10142.55,
13-June-2017,10095.96,10124.70,10020.89,10040.68,
14-June-2017,10036.25,10075.72,10004.94,10059.13,
15-June-2017,10051.58,10072.59,9950.06,9966.19,
16-June-2017,9967.46,10003.38,9853.86,9883.19,
19-June-2017,9895.23,9936.83,9856.11,9873.88,
20-June-2017,9899.82,9980.92,9864.56,9970.03,
21-June-2017,9958.07,9958.07,9882.85,9920.36,
22-June-2017,9941.98,10069.97,9859.50,9887.30,
23-June-2017,9903.65,9944.36,9835.86,9853.85,
27-June-2017,9879.66,9899.23,9725.98,9743.25,
28-June-2017,9751.49,9787.78,9724.93,9772.22,
29-June-2017,9793.36,9904.69,9758.81,9778.40,
30-June-2017,9765.03,9848.38,9750.67,9833.46,
3-July-2017,9863.02,9919.95,9783.30,9900.88,
4-July-2017,9926.27,9983.97,9877.66,9933.37,
5-July-2017,9915.52,9925.90,9859.59,9884.01,
6-July-2017,9851.64,9918.21,9836.73,9858.23,
