Date,Close
19-01-2015,1390
20-01-2015,1410.83
21-01-2015,1453.99
22-01-2015,1455.3
23-01-2015,1495.97
27-01-2015,1513.62
28-01-2015,1472.16
29-01-2015,1461.6
30-01-2015,1440.72
02-02-2015,1422.81
03-02-2015,1446.73
04-02-2015,1440.97
05-02-2015,1421.29
06-02-2015,1428.58
09-02-2015,1393.33
10-02-2015,1388.23
11-02-2015,1386.85
12-02-2015,1388.8
13-02-2015,1392.76
16-02-2015,1419.32
18-02-2015,1400.42
19-02-2015,1399.34
20-02-2015,1378.4
23-02-2015,1374.93
24-02-2015,1361.76
25-02-2015,1376.91
26-02-2015,1378.25
27-02-2015,1394.84
28-02-2015,1391.7
02-03-2015,1370.17
03-03-2015,1372.44
04-03-2015,1381.23
05-03-2015,1366.4
09-03-2015,1349.21
10-03-2015,1412.52
11-03-2015,1479.42
12-03-2015,1525.57
13-03-2015,1540.88
16-03-2015,1496.68
17-03-2015,1498.08
18-03-2015,1484.24
19-03-2015,1479.64
20-03-2015,1473.21
23-03-2015,1472.87
24-03-2015,1492.01
25-03-2015,1497.91
26-03-2015,1506.16
27-03-2015,1441.91
30-03-2015,1498.68
31-03-2015,1506.91
01-04-2015,1538.07
06-04-2015,1539.45
07-04-2015,1557.72
08-04-2015,1575.95
09-04-2015,1550.97
10-04-2015,1584.85
13-04-2015,1630.83
15-04-2015,1601.13
16-04-2015,1610.81
17-04-2015,1573.36
20-04-2015,1545.66
21-04-2015,1525.38
22-04-2015,1527.84
23-04-2015,1525.96
24-04-2015,1518.1
27-04-2015,1518.35
28-04-2015,1551.68
29-04-2015,1503.12
30-04-2015,1482.54
04-05-2015,1512.57
05-05-2015,1505.42
06-05-2015,1487.67
07-05-2015,1481.8
08-05-2015,1501.13
11-05-2015,1505.35
12-05-2015,1478.71
13-05-2015,1471.68
14-05-2015,1491.3
15-05-2015,1513.24
18-05-2015,1539.04
19-05-2015,1550.29
20-05-2015,1558.75
21-05-2015,1533.83
22-05-2015,1522.92
25-05-2015,1544.43
26-05-2015,1550.9
27-05-2015,1553.29
28-05-2015,1542.13
29-05-2015,1625.93
01-06-2015,1598.91
02-06-2015,1585.86
03-06-2015,1566.86
04-06-2015,1563.86
05-06-2015,1575.44
08-06-2015,1561.95
09-06-2015,1556.86
10-06-2015,1565.93
11-06-2015,1548.99
12-06-2015,1558.37
15-06-2015,1573.03
16-06-2015,1570.67
17-06-2015,1593.9
