Date,Open,High,Low,Close
22-Nov-07,,,,2393.26
23-Nov-07,,,,2418.88
26-Nov-07,,,,2475.08
27-Nov-07,,,,2428.04
28-Nov-07,,,,2409.26
29-Nov-07,,,,2396.13
30-Nov-07,,,,2457.73
03-Dec-07,,,,2501.65
04-Dec-07,,,,2494.63
05-Dec-07,,,,2512.75
06-Dec-07,,,,2539.66
07-Dec-07,,,,2589.55
10-Dec-07,,,,2601.09
11-Dec-07,,,,2705.49
12-Dec-07,,,,2772.57
13-Dec-07,,,,2688.09
14-Dec-07,,,,2639.59
17-Dec-07,,,,2507.98
18-Dec-07,,,,2513.59
19-Dec-07,,,,2524.1
20-Dec-07,,,,2515.16
21-Dec-07,,,,2515.16
24-Dec-07,,,,2621.69
26-Dec-07,,,,2666.84
27-Dec-07,,,,2631.82
28-Dec-07,,,,2607.97
31-Dec-07,,,,2715.21
02-Jan-08,,,,2677.79
03-Jan-08,,,,2654.09
04-Jan-08,,,,2693.41
07-Jan-08,,,,2714.76
08-Jan-08,,,,2767.94
09-Jan-08,,,,2785.28
10-Jan-08,,,,2725
11-Jan-08,,,,2719.82
14-Jan-08,,,,2664.62
15-Jan-08,,,,2555.79
16-Jan-08,,,,2487.19
17-Jan-08,,,,2493.35
18-Jan-08,,,,2439.29
21-Jan-08,,,,2215.69
22-Jan-08,,,,2156.01
23-Jan-08,,,,2227.7
24-Jan-08,,,,2232.67
25-Jan-08,,,,2385.75
28-Jan-08,,,,2291.06
29-Jan-08,,,,2260.2
30-Jan-08,,,,2208.46
31-Jan-08,,,,2205.28
01-Feb-08,,,,2275.99
04-Feb-08,,,,2406.62
05-Feb-08,,,,2416.32
06-Feb-08,,,,2376.51
07-Feb-08,,,,2268.65
08-Feb-08,,,,2287.63
11-Feb-08,,,,2164.8
12-Feb-08,,,,2142.12
13-Feb-08,,,,2123.36
14-Feb-08,,,,2232.62
15-Feb-08,,,,2245.6
18-Feb-08,,,,2246.49
19-Feb-08,,,,2242.58
20-Feb-08,,,,2181.21
21-Feb-08,,,,2191.97
22-Feb-08,,,,2155
25-Feb-08,,,,2168.28
26-Feb-08,,,,2159.24
27-Feb-08,,,,2148.55
28-Feb-08,,,,2151.68
29-Feb-08,,,,2113.67
03-Mar-08,,,,2016.5
04-Mar-08,,,,1944.78
05-Mar-08,,,,1939.49
07-Mar-08,,,,1949.17
10-Mar-08,,,,2037.44
11-Mar-08,,,,2013.86
12-Mar-08,,,,2027.75
13-Mar-08,,,,1924.83
14-Mar-08,,,,1917.89
17-Mar-08,,,,1845.88
18-Mar-08,,,,1886.54
19-Mar-08,,,,1920.6
24-Mar-08,,,,1948.22
25-Mar-08,,,,2041.71
26-Mar-08,,,,1993.29
27-Mar-08,,,,2038.3
28-Mar-08,,,,2042.93
31-Mar-08,,,,1996.89
01-Apr-08,,,,1993.96
02-Apr-08,,,,2017.83
03-Apr-08,,,,2002.5
04-Apr-08,,,,1935.87
07-Apr-08,,,,1991.43
08-Apr-08,,,,1986.35
09-Apr-08,,,,1972.61
10-Apr-08,,,,1927.99
11-Apr-08,,,,1947.98
15-Apr-08,,,,2002.08
16-Apr-08,,,,2000.63
17-Apr-08,,,,2037.4
21-Apr-08,,,,2118.59
22-Apr-08,,,,2120.66
23-Apr-08,,,,2098.65
24-Apr-08,,,,2072.19
25-Apr-08,,,,2236.18
28-Apr-08,,,,2252.75
29-Apr-08,,,,2205.99
30-Apr-08,,,,2207.11
02-May-08,,,,2186.22
05-May-08,,,,2172.74
06-May-08,,,,2095.14
07-May-08,,,,2051.25
08-May-08,,,,2070.74
09-May-08,,,,2071.44
12-May-08,,,,2081.91
13-May-08,,,,2057.16
14-May-08,,,,2110.05
15-May-08,,,,2165.16
16-May-08,,,,2179.97
20-May-08,,,,2146.46
21-May-08,,,,2151.62
22-May-08,,,,2111.65
23-May-08,,,,2115.73
26-May-08,,,,2107.97
27-May-08,,,,2115.11
28-May-08,,,,2145.37
29-May-08,,,,2138.23
30-May-08,,,,2165.87
02-Jun-08,,,,2131.45
03-Jun-08,,,,2084.11
04-Jun-08,,,,2020.2
05-Jun-08,,,,2048.13
06-Jun-08,,,,2020.75
09-Jun-08,,,,1996.42
10-Jun-08,,,,1985.97
11-Jun-08,,,,2011.21
12-Jun-08,,,,2032.59
13-Jun-08,,,,2027.93
16-Jun-08,,,,2052.5
17-Jun-08,,,,2040.79
